time_ms,left_motor,right_motor
713062,1000,1000
713176,1000,1000
713297,1123,1122
713417,1256,1256
713537,1367,1367
713659,1499,1499
713917,1566,1561
714045,1502,1502
714175,1217,1216
714305,1000,1000
714434,1000,1000
714564,1000,1000
714694,1000,1000
714948,1000,1000
715086,1324,1324
715207,1535,1532
715335,1726,1717
715464,1762,1741
716627,1000,1000
716765,1000,1000
716893,1000,1000
717023,1000,1000
717153,1000,1000
717279,1000,1000
717435,1000,1000
717687,1000,1000
717813,1000,1000
717943,1000,1000
718073,1000,1000
718203,1000,1000
718333,1000,1000
718463,1000,1000
