time_ms,mode,path_planning,heading,cardinal,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
43958,unknown,False,339.4,N,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.5,-1.2,-0.8,0
45006,unknown,False,249.3,W,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.49,0.83,-5.2,-2.3,-1.0,1
46057,manual,False,228.4,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.51,0.83,-4.9,-1.0,-0.6,2
47121,hover,False,223.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.48,0.84,-5.1,-1.6,-1.2,2
48190,hover,False,222.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.82,-5.1,-1.0,-0.7,3
49252,hover,False,222.2,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.52,0.84,-4.6,-0.4,-0.4,3
50321,hover,False,222.3,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.52,0.83,-4.4,-0.6,-0.8,3
51418,hover,False,222.2,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.53,0.87,-4.3,-0.7,-0.8,2
52486,hover,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.48,0.87,-3.8,-1.0,-0.7,1
53582,hover,False,222.0,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.48,0.83,-4.2,-0.7,-0.6,1
54641,hover,False,222.1,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.08,-0.50,0.80,-3.7,-0.8,-0.5,0
55730,hover,False,222.3,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.49,0.87,-4.2,-0.6,-0.8,-1
56800,hover,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.51,0.83,-3.6,-0.6,-0.6,-2
57883,hover,False,222.3,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.51,0.84,-4.3,-0.5,-0.5,-3
58965,hover,False,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.50,0.83,-4.0,-1.2,-0.6,-3
60046,hover,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.88,-5.7,-1.8,-0.6,-3
61139,hover,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.82,-5.8,-1.1,-0.8,-3
62211,hover,False,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.49,0.82,-5.0,-1.9,-0.9,-2
63306,hover,False,222.1,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.46,0.85,-6.0,-1.5,-1.0,-1
64387,manual,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.6,-1.0,-0.7,-1
65506,manual,False,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.6,-1.2,-0.8,-1
66592,manual,False,221.6,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.5,-1.2,-0.8,-1
67693,hover,False,221.7,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.54,0.83,-4.7,-1.6,-1.0,0
68792,manual,False,221.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.6,-1.1,-0.9,0
69886,manual,False,221.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.84,-4.7,-1.3,-0.8,0
70984,manual,False,221.6,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.51,0.83,-4.6,-1.3,-0.7,0
72042,manual,True,221.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.6,-1.0,-0.7,0
73043,manual,True,221.9,SW,1120,1120,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.51,0.85,-4.4,-1.6,0.0,0
74137,manual,True,222.0,SW,1162,1162,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.86,-4.8,-1.3,-0.9,0
76170,manual,True,222.1,SW,1183,1182,1000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.5,-1.0,-0.8,0
77255,manual,True,222.1,SW,1183,1182,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.49,0.84,-4.3,-1.1,-0.8,0
78355,manual,True,222.1,SW,1182,1182,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.7,-1.3,-0.8,0
79448,manual,True,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.7,-1.2,-0.8,0
80774,manual,False,221.5,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.5,-1.2,-0.8,0
81859,manual,False,221.3,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.84,-4.6,-1.1,-0.8,0
82974,manual,False,221.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.8,-1.2,-0.9,0
84066,manual,False,221.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.84,-4.6,-1.1,-0.8,0
85074,manual,False,221.3,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.3,-1.0,-0.6,0
86178,manual,False,221.1,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.7,-1.2,-0.9,0
87288,manual,False,220.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.84,-4.6,-1.1,-0.8,0
88392,manual,False,220.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.7,-1.3,-0.8,0
89427,manual,False,221.1,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.7,-1.3,-0.8,0
90519,manual,False,221.2,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.51,0.83,-4.6,-1.1,-0.8,0
91582,manual,False,221.5,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.52,0.85,-4.7,-1.3,-0.7,1
92667,manual,False,221.6,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.6,-0.9,-0.8,1
93731,manual,False,221.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.7,-1.1,-0.8,1
94809,hover,False,221.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.50,0.83,-5.5,-0.6,-0.8,1
95884,hover,False,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.8,-1.3,-0.7,2
96970,hover,False,221.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.51,0.82,-4.8,-1.5,-0.7,3
