time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7625,unknown,False,348.5,N,210,-138.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.00,-0.32,0.91,-4.7,-1.3,-0.9,0
8723,hover,False,298.5,NW,210,-88.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.31,0.88,-5.0,-2.0,-1.0,0
9802,hover,False,287.0,W,210,-77.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.31,0.89,-5.0,-2.4,-0.9,1
10911,hover,False,284.2,W,210,-74.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.35,0.92,-4.9,-1.9,-0.6,1
12026,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.27,0.96,-5.6,-1.3,-1.1,2
13131,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.32,0.91,-5.1,-1.5,-1.1,3
14205,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.31,0.89,-4.8,-2.4,-0.9,3
15311,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.04,-0.33,0.95,-4.3,-0.7,-1.0,3
16322,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.09,-0.27,0.91,-5.2,-0.0,-1.3,2
17421,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.06,-0.38,0.89,-4.2,-0.4,-1.0,1
18504,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.38,0.93,-4.7,-1.3,-0.7,1
19625,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.93,-5.0,-1.0,-0.8,0
20633,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.36,0.92,-3.3,0.2,-0.2,-1
21703,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.34,0.89,-4.3,-0.6,-0.8,-1
22714,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.35,0.92,-4.3,-0.7,-1.0,-2
23813,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.31,0.90,-3.7,-0.5,-0.5,-3
24914,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.30,0.92,-5.2,-0.9,-1.0,-3
26000,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.34,0.91,-4.2,-2.4,-0.6,-4
27086,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.26,0.91,-4.7,-0.6,-0.9,-3
28084,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.30,0.92,-5.2,-1.4,-1.1,-3
29085,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.29,0.91,-5.7,-2.9,-1.5,-2
30175,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.32,0.91,-4.3,-0.3,-1.0,-1
31296,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.32,0.92,-5.2,-1.7,-0.8,0
32295,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.31,0.97,-4.7,-0.1,-1.1,0
33379,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.35,0.90,-4.4,-1.8,-0.8,1
34439,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.28,0.94,-5.0,-0.7,-0.8,2
35527,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.34,0.94,-4.2,-1.0,-0.3,2
36627,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.34,0.87,-4.8,-2.4,-0.8,3
37723,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.07,-0.36,0.92,-4.1,-1.1,-0.4,3
38732,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.39,0.86,-3.7,-1.6,-0.8,3
39757,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.07,-0.37,0.89,-4.2,-1.3,-0.8,3
40864,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.09,-0.38,0.92,-4.3,-1.0,-0.5,2
42459,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.35,0.91,-4.1,-1.5,-0.7,2
43540,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.33,0.91,-5.1,-0.8,-1.3,1
44659,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.28,0.96,-5.4,0.9,-1.0,0
45680,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.31,0.92,-3.9,0.1,-0.6,0
46766,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.33,0.91,-4.6,-0.4,-1.0,-1
47770,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.95,-4.7,0.4,-0.8,-1
48870,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.41,0.88,-3.8,-2.4,-0.6,-2
49951,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.94,-5.5,-1.4,-0.7,-3
51042,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.29,0.94,-5.5,1.1,-1.1,-3
52139,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.29,0.88,-5.2,-0.8,-1.1,-3
53237,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.29,0.93,-5.9,-0.6,-1.0,-2
54292,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.30,0.91,-6.1,-2.1,-1.3,-2
55382,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.31,0.91,-6.0,-2.6,-1.3,-1
56447,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.34,0.90,-4.7,-2.5,-0.8,0
57533,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.32,0.91,-5.4,-1.9,-0.9,0
58631,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.33,0.88,-5.1,-2.1,-1.0,1
59643,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.27,0.94,-5.0,-0.4,-0.8,2
60705,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.35,0.88,-4.5,-2.0,-0.5,2
61823,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.30,0.91,-5.5,-1.7,-1.2,3
62912,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.34,0.88,-4.7,-3.1,-0.7,3
64024,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.31,0.90,-5.0,-1.7,-0.7,3
65115,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.30,0.92,-5.0,-0.9,-1.1,2
66186,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.32,0.93,-4.9,-1.1,-1.1,1
67305,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.03,-0.37,0.92,-4.6,-1.4,-0.5,1
68307,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.31,0.93,-5.0,-1.1,-1.1,0
69375,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.02,-0.35,0.95,-3.6,-1.3,-0.3,-1
70487,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.96,-4.6,0.2,-0.5,-1
71501,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.34,0.96,-4.9,0.7,-0.8,-2
72625,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.36,0.92,-3.9,-0.1,-0.4,-3
